,Feature A,Feature B,Feature C,Feature D,Feature E,Feature F,Feature G,Feature H,Feature I,Feature J,Feature K,Feature L,Feature M,Feature N,Feature O,Feature P,Feature Q,Feature R,Feature S,Feature T,Class
0,-1.4739782392706833,-0.9203190892639183,3.637316188482824,-0.024854332000289858,1.16892246200744,0.25360921943556813,,-1.3019411185572545,-1.3440543319673433,1.6295515412338037,,-0.21809285812052245,-0.05878999157426027,0.4125062553707557,-0.0646866223193868,0.3831688198202377,1.0535794338921567,1.4526213285088743,2.0175351443253975,-3.572951622637732,0.0
1,,1.5733439951694734,1.0603879995260541,-3.2307483416568585,0.29474879995722486,-0.6525374630563698,-0.6117653091060733,-0.490597787765738,,-2.840001133755755,2.602376658829011,,2.0976856696893296,0.8127145829455363,1.4928905756666333,-0.7507408937257434,,2.0330100685414134,-1.5753641107633445,,0.0
2,,-1.1971057184829692,2.9426983789143764,1.4810565510910119,-1.7988374967437766,0.7556142299897822,0.3104540312333683,-0.4825210016089141,1.7362180126994036,3.402262544631564,-4.278959757517374,0.8343021146467303,0.01738080217805888,-0.9556363203634157,,-0.41057744416752673,,0.39322705666259516,2.719655866299521,-2.746119415211931,0.0
3,1.1637619569302073,0.31216085144522077,1.9517691473983334,-0.6377501347372452,1.7509623521300222,,-0.3663660085178368,-0.5074198284875016,0.382369686224132,,1.0863894358240587,-0.6863690214088168,-1.9689999372743738,1.2824402687396976,,0.4495746966817371,,1.588773098201184,0.08421335417225352,-1.366018486048898,
4,-1.2372373474917429,-0.6079565556784966,0.3603358315149413,-0.9094066335355757,0.7544087992559947,-0.32861659519105496,,1.7049409129947466,0.010556868586295301,0.25487943190457446,0.6353323084687252,0.25749676242298697,-0.21119151911571651,0.2548540954419798,,,,0.18033286729599174,0.9894928598767609,-1.4116365457678155,0.0
5,-1.3201829521912454,-2.1481715016450433,2.164271315746112,1.0022620760488026,,-0.4176659408699373,0.6725771361813101,0.7331734412945347,2.7510293469806864,3.956239991151429,-1.3227479809922316,-0.28760740789776923,-0.43350692826743614,-1.8527859128868964,-0.3914722624125841,-2.455103245317342,-0.0020662521448694534,-1.5240430438504748,,-0.7934057611721166,2.0
6,0.6512802609638272,3.1174845732568093,,-1.120951347162623,-0.2497161414101283,-1.3676535378756534,,-1.2006188500857264,0.4733846847824311,-2.4497136959652974,-2.7909447808336543,0.7374429924083467,0.3931082556287766,-0.41277640328415754,-0.013373568819895532,-0.3080032983078268,-0.4010458102593759,-0.5044427074055952,-5.879041880824504,,1.0
7,0.6784708528782034,,1.1986440810349108,0.4533139010016791,0.8469887838735474,0.20822429789119254,1.600926683753227,-1.982660921644499,0.3504291765163779,-1.5489131642838994,1.0311440138190369,-1.0848303143778457,-0.8004576727043511,1.5045698720178375,-0.3175176693150292,-0.5336041047204227,-1.131869621472329,,-0.4004595315990371,1.3305490931252457,1.0
8,,-1.3505859575336139,0.6542023950621677,,0.3781809121635793,-0.619682876984648,0.5046091784779878,0.533198978030828,-2.1296669997916675,5.163312472686806,-4.095336329506144,,0.005336248593289332,,0.7654455720856678,-1.0045536616410464,0.5500302069023636,-0.7096742910158583,4.117252101201996,-2.409574603924597,0.0
9,-1.2378593465948602,,0.46509524163813176,2.857302814493815,1.7490211389266308,-0.22122721747545793,-0.8497952679352969,-0.45546139319034057,-0.38095762095138475,-2.578849098530699,0.7132928919287334,0.27431436890119343,,1.9801753812981215,0.8595646907488975,-0.6345893989602154,,,1.501667154893764,,0.0
10,-1.7694317429151047,0.40536070356484455,-3.2820231953299346,0.06308454417143317,-0.052785144341410614,0.2241685138315063,0.5874019439537232,-1.0292961021227576,-0.3658784448121472,0.7104134246094822,0.13970132113984435,-0.7777596248446593,,-1.1868349063817027,-0.5274565413969945,0.50764920833329,1.3799999718163105,-0.15165099148732528,-0.5784434092909531,1.346935819160234,1.0
